client_id,program_id,exercise_id,exercise_name,day_of_week,week_phase,sets,reps_min,reps_max,rest_seconds,load_progression,form_cues,exercise_order,superset_group,exercise_category,muscle_groups_primary,muscle_groups_secondary,equipment_required,difficulty_level,tempo,notes
16,16,1,Conventional Deadlift,Monday,1-4,3,8,12,120,Weekly 2.5lb increases,Drive through heels • Bar stays close to body • Chest up,1,,Compound,Hamstrings,Glutes,Barbell,Intermediate,3-1-2-1,Core movement for functional strength
16,16,2,Dumbbell Rows (Single Arm),Monday,1-4,3,10,15,90,Weekly 2.5lb increases,Flat back • Pull to hip • Squeeze shoulder blade,2,,Compound,Lats,Rhomboids,Dumbbells,Beginner,3-1-2-1,Unilateral pulling strength
16,16,3,Goblet Squat,Monday,1-4,3,12,15,90,Weekly 2.5lb increases,Hold dumbbell close to chest • Chest up • Drive through heels,3,,Compound,Quadriceps,Glutes,Dumbbell,Beginner,3-1-2-1,Functional squat pattern
16,16,4,Dumbbell Shoulder Press,Monday,1-4,3,10,12,90,Weekly 2.5lb increases,Core engaged • Press straight up • Don't arch back excessively,4,,Compound,Shoulders,Triceps,Dumbbells,Beginner,3-1-2-1,Overhead pressing strength
16,16,5,Standard Push-ups,Wednesday,1-4,2,8,15,60,Add reps weekly,Straight line head to heels • Lower to chest level • Keep core tight,1,,Compound,Chest,Triceps,None,Beginner,3-1-2-1,Bodyweight upper push
16,16,6,Romanian Deadlift (DB),Wednesday,1-4,3,12,15,90,Weekly 2.5lb increases,Push hips back • Keep chest up • Feel stretch in hamstrings,2,,Compound,Hamstrings,Glutes,Dumbbells,Beginner,3-1-2-1,Hip hinge pattern
16,16,7,Dumbbell Step-ups,Wednesday,1-4,3,10,12,90,Weekly 2.5lb increases,Full foot on platform • Don't push off back foot • Keep torso upright,3,,Compound,Quadriceps,Glutes,Dumbbells,Beginner,3-1-2-1,Unilateral leg strength
16,16,8,Bent-over Dumbbell Rows,Wednesday,1-4,3,12,15,90,Weekly 2.5lb increases,Hip hinge position • Pull to lower chest • Squeeze shoulder blades,4,,Compound,Lats,Rhomboids,Dumbbells,Beginner,3-1-2-1,Bilateral pulling
16,16,9,Dumbbell Lunges,Friday,1-4,3,10,12,90,Weekly 2.5lb increases,Step forward • 90-degree angles • Push back to start,1,,Compound,Quadriceps,Glutes,Dumbbells,Beginner,3-1-2-1,Functional lunge pattern
16,16,10,Dumbbell Hip Thrusts,Friday,1-4,3,12,15,90,Weekly 2.5lb increases,Squeeze glutes at top • Full hip extension • Control the descent,2,,Isolation,Glutes,Hamstrings,Dumbbells,Beginner,3-1-2-1,Posterior chain activation
